date,iso_code,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,total_tests_per_thousand,tests_units
2019-12-31,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-01,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-02,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-03,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-04,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-05,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-06,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-07,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-08,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-09,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-10,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-11,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-12,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-13,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-14,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-15,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-16,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-17,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-18,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-19,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-20,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-21,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-22,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-23,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-24,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-25,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-26,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-27,DEU,Germany,0,0,0,0,0.0,0.0,0.0,0.0,,,
2020-01-28,DEU,Germany,1,1,0,0,0.012,0.012,0.0,0.0,,,
2020-01-29,DEU,Germany,4,3,0,0,0.048,0.036000000000000004,0.0,0.0,,,
2020-01-30,DEU,Germany,4,0,0,0,0.048,0.0,0.0,0.0,,,
2020-01-31,DEU,Germany,5,1,0,0,0.06,0.012,0.0,0.0,,,
2020-02-01,DEU,Germany,7,2,0,0,0.084,0.024,0.0,0.0,,,
2020-02-02,DEU,Germany,8,1,0,0,0.095,0.012,0.0,0.0,,,
2020-02-03,DEU,Germany,9,1,0,0,0.107,0.012,0.0,0.0,,,
2020-02-04,DEU,Germany,11,2,0,0,0.131,0.024,0.0,0.0,,,
2020-02-05,DEU,Germany,11,0,0,0,0.131,0.0,0.0,0.0,,,
2020-02-06,DEU,Germany,11,0,0,0,0.131,0.0,0.0,0.0,,,
2020-02-07,DEU,Germany,12,1,0,0,0.14300000000000002,0.012,0.0,0.0,,,
2020-02-08,DEU,Germany,13,1,0,0,0.155,0.012,0.0,0.0,,,
2020-02-09,DEU,Germany,13,0,0,0,0.155,0.0,0.0,0.0,,,
2020-02-10,DEU,Germany,13,0,0,0,0.155,0.0,0.0,0.0,,,
2020-02-11,DEU,Germany,13,0,0,0,0.155,0.0,0.0,0.0,,,
2020-02-12,DEU,Germany,15,2,0,0,0.179,0.024,0.0,0.0,,,
2020-02-13,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-14,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-15,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-16,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-17,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-18,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-19,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-20,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-21,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-22,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-23,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-24,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-25,DEU,Germany,15,0,0,0,0.179,0.0,0.0,0.0,,,
2020-02-26,DEU,Germany,17,2,0,0,0.203,0.024,0.0,0.0,,,
2020-02-27,DEU,Germany,21,4,0,0,0.251,0.048,0.0,0.0,,,
2020-02-28,DEU,Germany,47,26,0,0,0.561,0.31,0.0,0.0,,,
2020-02-29,DEU,Germany,57,10,0,0,0.68,0.11900000000000001,0.0,0.0,,,
2020-03-01,DEU,Germany,111,54,0,0,1.325,0.645,0.0,0.0,,,
2020-03-02,DEU,Germany,129,18,0,0,1.54,0.215,0.0,0.0,,,
2020-03-03,DEU,Germany,157,28,0,0,1.874,0.33399999999999996,0.0,0.0,,,
2020-03-04,DEU,Germany,196,39,0,0,2.339,0.465,0.0,0.0,,,
2020-03-05,DEU,Germany,262,66,0,0,3.127,0.7879999999999999,0.0,0.0,,,
2020-03-06,DEU,Germany,400,138,0,0,4.774,1.6469999999999998,0.0,0.0,,,
2020-03-07,DEU,Germany,684,284,0,0,8.164,3.39,0.0,0.0,,,
2020-03-08,DEU,Germany,847,163,0,0,10.109,1.945,0.0,0.0,124716.0,1.511,tests performed
2020-03-09,DEU,Germany,902,55,0,0,10.765999999999998,0.6559999999999999,0.0,0.0,,,
2020-03-10,DEU,Germany,1139,237,2,2,13.594000000000001,2.8289999999999997,0.024,0.024,,,
2020-03-11,DEU,Germany,1296,157,2,0,15.468,1.874,0.024,0.0,,,
2020-03-12,DEU,Germany,1567,271,3,1,18.703,3.235,0.036000000000000004,0.012,,,
2020-03-13,DEU,Germany,2369,802,5,2,28.275,9.572000000000001,0.06,0.024,,,
2020-03-14,DEU,Germany,3062,693,5,0,36.546,8.271,0.06,0.0,,,
2020-03-15,DEU,Germany,3795,733,8,3,45.295,8.749,0.095,0.036000000000000004,252173.0,3.055,tests performed
2020-03-16,DEU,Germany,4838,1043,12,4,57.744,12.449000000000002,0.14300000000000002,0.048,,,
2020-03-17,DEU,Germany,6012,1174,13,1,71.756,14.012,0.155,0.012,,,
2020-03-18,DEU,Germany,7156,1144,13,0,85.41,13.654000000000002,0.155,0.0,,,
2020-03-19,DEU,Germany,8198,1042,13,0,97.84700000000001,12.437000000000001,0.155,0.0,,,
2020-03-20,DEU,Germany,14138,5940,43,30,168.74400000000003,70.89699999999999,0.513,0.358,,,
2020-03-21,DEU,Germany,18187,4049,45,2,217.07,48.327,0.537,0.024,,,
2020-03-22,DEU,Germany,21463,3276,67,22,256.171,39.101,0.8,0.263,600792.0,7.279,tests performed
2020-03-23,DEU,Germany,24774,3311,94,27,295.689,39.518,1.122,0.322,,,
2020-03-24,DEU,Germany,29212,4438,126,32,348.659,52.97,1.504,0.382,,,
2020-03-25,DEU,Germany,31554,2342,149,23,376.61199999999997,27.953000000000003,1.778,0.275,,,
2020-03-26,DEU,Germany,36508,4954,198,49,435.74,59.128,2.363,0.585,,,
2020-03-27,DEU,Germany,42288,5780,253,55,504.727,68.987,3.02,0.6559999999999999,,,
2020-03-28,DEU,Germany,48582,6294,325,72,579.849,75.122,3.8789999999999996,0.8590000000000001,,,
2020-03-29,DEU,Germany,52547,3965,389,64,627.173,47.324,4.643,0.764,962166.0,11.657,tests performed
2020-03-30,DEU,Germany,57298,4751,455,66,683.878,56.705,5.431,0.7879999999999999,,,
2020-03-31,DEU,Germany,61913,4615,583,128,738.96,55.082,6.957999999999999,1.528,,,
2020-04-01,DEU,Germany,67366,5453,732,149,804.044,65.084,8.737,1.778,,,
2020-04-02,DEU,Germany,73522,6156,872,140,877.5189999999999,73.475,10.408,1.671,,,
2020-04-03,DEU,Germany,79696,6174,1017,145,951.2080000000001,73.69,12.138,1.7309999999999999,,,
2020-04-04,DEU,Germany,85778,6082,1158,141,1023.8,72.59100000000001,13.821,1.683,,,
2020-04-05,DEU,Germany,91714,5936,1342,184,1094.649,70.84899999999999,16.017,2.1959999999999997,1368218.0,16.576,tests performed
2020-04-06,DEU,Germany,95391,3677,1434,92,1138.536,43.887,17.115,1.0979999999999999,,,
2020-04-07,DEU,Germany,99225,3834,1607,173,1184.296,45.761,19.18,2.065,,,
2020-04-08,DEU,Germany,103228,4003,1861,254,1232.0739999999998,47.778,22.212,3.032,,,
2020-04-09,DEU,Germany,108202,4974,2107,246,1291.441,59.367,25.148000000000003,2.9360000000000004,,,
2020-04-10,DEU,Germany,113525,5323,2373,266,1354.973,63.532,28.323,3.175,,,
2020-04-11,DEU,Germany,117658,4133,2544,171,1404.3020000000001,49.32899999999999,30.364,2.041,,,
2020-04-12,DEU,Germany,120479,2821,2673,129,1437.9720000000002,33.67,31.903000000000002,1.54,1728357.0,20.94,tests performed
2020-04-13,DEU,Germany,123016,2537,2799,126,1468.253,30.28,33.407,1.504,,,
2020-04-14,DEU,Germany,125098,2082,2969,170,1493.102,24.85,35.436,2.029,,,
2020-04-15,DEU,Germany,127584,2486,3254,285,1522.774,29.671999999999997,38.838,3.4019999999999997,,,
2020-04-16,DEU,Germany,130450,2866,3569,315,1556.981,34.207,42.598,3.76,,,
2020-04-17,DEU,Germany,133830,3380,3868,299,1597.3229999999999,40.342,46.166000000000004,3.569,,,
2020-04-18,DEU,Germany,137439,3609,4110,242,1640.398,43.075,49.055,2.888,,,
2020-04-19,DEU,Germany,139897,2458,4294,184,1669.735,29.337,51.251000000000005,2.1959999999999997,,,
2020-04-20,DEU,Germany,141672,1775,4404,110,1690.921,21.185,52.56399999999999,1.3130000000000002,,,
